id_timestamp,id_index,sensor_index,sensor_id,timestamp_since_poweron,real_time_clock,temperature,pressure,relative_humidity,resistance_gassensor,heater_profile_step_index,scanning_enabled,scanning_cycle_index,label_tag,error_code
2026_02_18_21_53,16048,3,1724221471,6461582,1771458049,36.335205,992.916931,18.251638,150721.21875,8,1,2,0,0
2026_02_18_21_53,16049,6,1724206621,6462006,1771458049,35.791176,993.312805,17.512669,14302924.0,2,1,3,0,0
2026_02_18_21_53,16050,3,1724221471,6462282,1771458049,36.484989,992.913757,18.131594,162488.09375,9,1,2,0,0
2026_02_18_21_53,16051,3,1724221471,6462982,1771458050,36.602318,992.931335,17.994211,172158.703125,0,1,3,0,0
2026_02_18_21_53,16052,1,1724192798,6463073,1771458050,33.770107,993.00177,20.827171,1989798.375,3,1,1,0,0
2026_02_18_21_53,16053,3,1724221471,6463151,1771458050,36.150475,992.965759,18.065475,19006960.0,1,1,3,0,0
2026_02_18_21_53,16054,1,1724192798,6463647,1771458051,34.545097,992.971802,20.721323,160804.015625,4,1,1,0,0
2026_02_18_21_53,16055,2,1724204062,6463721,1771458051,34.363029,993.048584,20.106415,1821253.875,3,1,1,0,0
2026_02_18_21_53,16056,4,1724209694,6463866,1771458051,35.55611,992.935242,18.777554,2885523.0,3,1,1,0,0
2026_02_18_21_53,16057,1,1724192798,6464360,1771458051,34.843174,993.029968,20.531693,152608.046875,5,1,1,0,0
2026_02_18_21_53,16058,2,1724204062,6464437,1771458051,35.113342,993.04425,19.977945,137265.421875,4,1,1,0,0
2026_02_18_21_53,16059,3,1724221471,6464575,1771458052,35.166897,992.936157,17.61311,14219136.0,2,1,3,0,0
2026_02_18_21_53,16060,4,1724209694,6464582,1771458052,36.285,992.92926,18.604311,247104.25,4,1,1,0,0
2026_02_18_21_53,16061,2,1724204062,6465000,1771458052,35.414967,993.071838,19.773958,129751.648438,5,1,1,0,0
2026_02_18_21_53,16062,1,1724192798,6465080,1771458052,34.99221,993.030945,20.233234,149401.8125,6,1,1,0,0
2026_02_18_21_53,16063,0,1724206365,6465155,1771458052,33.378777,992.839722,21.337448,2527615.0,3,1,1,0,0
2026_02_18_21_53,16064,4,1724209694,6465159,1771458052,36.559582,992.965271,18.40349,235186.03125,5,1,1,0,0
2026_02_18_21_53,16065,2,1724204062,6465715,1771458053,35.559547,993.084167,19.565311,126295.015625,6,1,1,0,0
